cid,text,time,author,channel,votes,photo,heart
UgyMKpjpTbYVtYurZEp4AaABAg,This content is GOLD.  Love the genuine tips.,1 year ago,Rick Stambaugh,UCNhkXDdx3gKUgOS0lmI425w,3,https://yt3.ggpht.com/ytc/AKedOLQ0yk9nyFIpANw0Z0anhCZH0sMDabjYk2PJW11sqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFHjnyrEP4i7MXV_14AaABAg,"'Define what being rich means for you' is such an important yet underrated piece of advice. We tend to think we have to have millions of dollars or go on multiple vacations. But just because you see that over and over on Instagram, doesn't mean YOU also need to live like that! Do what makes YOU happy!",1 year ago,Areeb Irshad,UCUx2IdAe_1NHjsxSqkYxo-w,8,https://yt3.ggpht.com/fH1ECDDNSB94RbgqUUgYQju7z3TFxbjKPggytD7WuB3tex0WQE5bWyyrnAhOwthy8jUbXA6m7Ys=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHejEtjjhD_gWKwZ14AaABAg,Yeah....we are meeting for lunch 😀😀...dont be late😂....,1 year ago,Curious Blogger,UCcOCcAwebhixvycLQNYTksw,1,https://yt3.ggpht.com/IHWqe5e6fI4KXuX3NFb6doEwC-fmst3FY_21_bjhwYx7maWRAHEjx2BVmnKibD3BA3tQF9kJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgysdAabX8XZxol2_4l4AaABAg,"I love how you're the only person who talks about not listening to YouTubers about making money.

I had a marketing agency before my current business and I hated it, watched 100s of videos a month and made it no where.

With this software company, I love the process and I watch maybe 3 videos a week and it's only for general stuff regarding business.

Do not listen to what youtube tells you, it's all BS",1 year ago,Mohamad Alasadi,UCF7lU2WEL-3ziyWjbyxucSA,1,https://yt3.ggpht.com/ytc/AKedOLQYLh-KstyQTwPZsmlHO6tqUfT97s79ZXpwCtA1Rg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxl_dHFCM4Eep-TIid4AaABAg,"Most watch successful people on YT that don’t appear to have gone through failures. Even if the fails are discussed, how they were worked through isn’t discussed enough. You give us viewers and those trying, a better view of how and why to KEEP GOING. Rock on Noah and thank you so much for keeping it down to earth and clear. ...or mostly clear. Everyone’s journey is different. Knowing others have dealt with crap, helps everyone feel less like a failure and can keep working at it. 👍",1 year ago,D Wood,UCP0FGSmYmrHmOI_BSGHp-Qw,1,https://yt3.ggpht.com/ytc/AKedOLTdkShy-h__dqxB9a9TcBLCiJ8y3_Z_Iq7MCXwkDgM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyug0gd9HFe_Oax9Cp4AaABAg,"I LOVED this video, Noah! So much great info, advice, encouragement, and enthusiasm! I also loved the look and your energy! Thank you so much for educating me, entertaining me, and making me smile! I hope that you have a wonderful day!",1 year ago,Tom Booker,UCJX0jdF86ooxzxcSexspDiw,1,https://yt3.ggpht.com/ytc/AKedOLTnPlncpEsZNTONqd1AxdyPnRUjbAIQJtS1ip2rYA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxanrhUmwTluNOdGy14AaABAg,Awesome video Noah. I remember when you first started. You and I even talked on Skype when you helped me with a product purchase. You showed me you cared and you're showing me now you still care. Hope you're well buddy :-),1 year ago,David Cavanagh,UCpktwACivd_33qyJXf1RXyA,6,https://yt3.ggpht.com/KvvNONEHS5keriwx0woBIfz6vPDZqmOCSJ1IjwjJLAiTYlH9nR2B2fTW_hXeZggYE9S-mjw6w1E=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6jy4O7SuX-lMPQHV4AaABAg,"Sir your content 🔥🔥🔥
Thanks to Ishan because of him I discovered your channel 🔥",1 year ago,ankit Sharma,UCPjebCfc5EGukNot1rzdQSQ,2,https://yt3.ggpht.com/ytc/AKedOLTgx919JdtXWgL6yl-ZHCXpMg6Gc41j-sNyOQuGzw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDUU2kVyFJ6vuF8GF4AaABAg,"As always , Enjoyed watching this video too and read those articles too .. Thanks for sharing",1 year ago,RABINDRA JAISWAL,UCoybpcQyLekvIrr_0czUeVg,0,https://yt3.ggpht.com/ytc/AKedOLTMlbWpOw0fXVzwm51Qe2ADsF80_dzP3IyB9A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCXmTuVsGhPpuQv1d4AaABAg,Great video man! Thank you for sharing,1 year ago,Print On Demand - RJ Martinez,UCgUAPPjwz--1MRiEojS1QPw,0,https://yt3.ggpht.com/a6f-GK8s4_-aAzIo1bQ01TftMWwmrETUtPqTSRUz8vmOE4Ny_UI4UVUz1rMJUU6dV1-dVn_L=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMUD216PLpr4hURo54AaABAg,I purchased Tai’s course 🤣,1 year ago,A B,UCrz9EOfGhALLey1wwIrspgQ,0,https://yt3.ggpht.com/ytc/AKedOLQhmuFVvW1yCo6DJLyc12ILy_PgMMoHZf4RLmAc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugys6c_Uzmq6o6TGYah4AaABAg,"Noah, your videos are so refreshing! I like how you project your energy through the screen every time.",1 year ago,Tyson Zimmer,UCG_6Oif2XybgNZnCA8a5TeA,3,https://yt3.ggpht.com/ytc/AKedOLQQgseyvK_jgTER-EPLaC6BizpoWGVkX2P2aXhKKg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyGFEKoFTK76hfKrdF4AaABAg,"@Noah Kagan  I am saving this video and when I am rich, even if it takes til I am 80, you are so buying me lunch hahah.",11 months ago,Mark Scott,UCGanu3LUuXgTgthV-OGAiZQ,1,https://yt3.ggpht.com/ytc/AKedOLSYr-oseZ1ULVuuDDGhQEHzPBTIZvOi2NLmR3xI=s176-c-k-c0x00ffffff-no-rj,0.0
UgwT46PHnP0msHmUqMd4AaABAg,Bro more videos like these straight up ones real talk🔥,1 year ago,Mr. Anfield  Football,UCDOdXiT4ACKE2D8g9SNTYPQ,0,https://yt3.ggpht.com/eke2BCOAjoJzMDKDliGbvFoMKXUy4kFTYfWHSk-NvedxitI_YHnlIUO-QtpyHXBhlNZD2-52nR0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrIFZAUoJL_Hnllt54AaABAg,"This video is gold... Thank you, sir!",1 year ago,Pinoy Money Maker,UCYdYqPsCqmO_iRlJ4V4TWyQ,1,https://yt3.ggpht.com/SwKW5oI2UiYS8FibcE6G5LOlT7tmwsAHg9vRSoXEGhuIRdbgjp24V2eS8uzDbORe-CT1_Mxb7A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_6khTSUKNrUlnPfp4AaABAg,Appreciate this video Noah! Needed this reminder AND the new things I hadn't thought of before.,1 year ago,Financial Beanstalk,UC7OAJs5MnXPkduXeosPN7MQ,0,https://yt3.ggpht.com/ytc/AKedOLTa17teViA4gJxYtnJ5bidFiR-T1DkicFiFirvI=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLSCUE6NVJD6iR0WF4AaABAg,"Thank you Noah, 
You have helped me so much.",2 months ago,john wolfenden,UCliC0rXPIsgvKs2aSH1eeXg,0,https://yt3.ggpht.com/ytc/AKedOLTa7ye5HyWY9ll0FihJsTxuPfY3gIQSWV_9lhZcPDkCxMgeZtqZlosoXBtKRdJU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwo9BACKXUqjNcGatR4AaABAg,"If you liked this story you're going to love this video I put out recently about 3 entrepreneurs who are making over $1,000,000 with 0 Employees: https://youtu.be/NOCv5PgxNV8",8 months ago (edited),Noah Kagan,UCF2v8v8te3_u4xhIQ8tGy1g,52,https://yt3.ggpht.com/ytc/AKedOLTy1orGjcEab1_j07Ct8s9dzdmPvw4OicA4LW4B=s176-c-k-c0x00ffffff-no-rj,1.0
Ugxb5H46UOn5F0n9jCR4AaABAg,"""It take 20 years to become an overnight success.""  - A wise man",1 year ago,JW B,UCpQkuZd1s12MdfOxPNiUtgg,439,https://yt3.ggpht.com/ytc/AKedOLQvJiCx14CTxe2zWkDdTn25i4nH1-OPrSC1gg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyO3NpBThxuM_3yQXt4AaABAg,"When it comes to investing, diversification is key, that’s why I engage in sectors based on projected growth. There’s no shortcut to getting rich, but there are smart ways to go about it",13 days ago,Margaret Jaden,UCHdqmMJgy5y3I-FwesFUhiw,4,https://yt3.ggpht.com/CNyJyqvKSW-uyQ9p3PUmieg-eEWUKvT88glopPvNgAfmE5bLBOi0uHRKwILccZwx0lBoi-kifA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkG55l4PcZvEdMaTV4AaABAg,"Honestly did not expect this to be so very insightful and actionable! There's far too many 'gurus' out here just selling crap or starting from a huge advantage. Though you did start from a college degree and get Intel and Facebook as your first two jobs, your overall hustle is still incredibly inspirational and applicable. Thanks for sharing!!",1 year ago,Elijah Claude,UCoiWxaPAfn6zbdcTN4Y8pKQ,131,https://yt3.ggpht.com/ytc/AKedOLQFHlumFwxmSCVcYW7_ooIP7WdFBinl54BJzLQjzw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxsSkqkPOqDNetwr9F4AaABAg,"""if you don't know what you want to do in your life go work for companies you love""   - awesome advice that I wish I had gotten 15 years ago.   Thank you Noah!",1 year ago,Matt Baran,UC9tfZaAMsCsUf68IpqfP9SQ,99,https://yt3.ggpht.com/ytc/AKedOLSFbYhLCR3cKFGSTxYDzJz2uxaLa90FpLkQjQpWVg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtNCMPY4Yc0UQimhN4AaABAg,This is what you call an entrepreneur. Not those insta gurus on yatchs,1 year ago,No Name,UCs_M9sjjI97njwXSAdfUr5g,428,https://yt3.ggpht.com/ytc/AKedOLQD1EHCptbdLu87JMOxmONBQzwyM4V3vDHySPzl=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXkTSEeOI7HD3yFFp4AaABAg,"Loved this video! So relieving to see that it actually takes years of grinding to become a millionaire and not some flashy quick get-rich scheme. Cause sometimes on this road to wealth you feel things are moving too slow and you should do more. So I loved how genuine your story is. Also congrats on the way you do the videos, really engaging as well!",5 months ago,Vanessa Cadar,UCjiJNmo0m5PYtxCFrdq-Kqg,12,https://yt3.ggpht.com/ytc/AKedOLT3YrpiewrPRtV0sqi9MtJSZrngr9SRVQnHk2PIuw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0gA2qjPSOwnqxijJ4AaABAg,"Thank you again Noah,   A lot of us first generation sons and daughters of immigrants are forced into careers that we don't want to do,  but our parents never saw any other option.  (Hence the medical field is filled with the children of immigrants)   There's so many other fields out there where you can probably make more money than a doctor, but a lot of our parents didn't understand how the business world works.  They thought business meant setting up a fruit and veggie stand, or opening up a convenient store.  Thanks Noah!  Your so inspirational.",6 months ago,Navade Khader786,UCPatVQNUvuOunNki9aNpb9w,21,https://yt3.ggpht.com/ytc/AKedOLSN6YUgCPoGiRZYNcu1ATKw_Vqq-gk1I3QSTIWT8NS-cVTP7mxa44gmL_9VZ2EL=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyyz_aE-B43nO_XAhJ4AaABAg,"How I made my first $1M

Most people: Selling courses

Noah: Hard work and years of hustle",1 year ago,Tin Rovic,UCBVUxIvHelNTjUIQNi41ZFQ,548,https://yt3.ggpht.com/se-Scc7XV4DCOvq0Y0BuKIeerK5wHL_y_9SRHDFQ3CBObj0mqCLc8T9XkgkhikTXKg-BorET=s176-c-k-c0x00ffffff-no-rj,1.0
UgyAmPYSu5z_deXOCGV4AaABAg,"I have a 9-5 that pays pretty well and is somewhat interesting to me but can also be very slow and boring. And while it pays well it doesn’t get me to where I’d like to be financially.

But your videos made me realize that with a main job, there are a ton of fun and interesting side jobs I could pursue during my down time. Because my main job gives me a stable career, I could literally do anything I want on the side. It could be a fun side job and all the extra money (even if it’s not a ton of money) can be saved/invested on top of what I already earn.

I really love researching products and writing. A part-time job writing reviews for products I enjoy would be a blast. I could easily do that for hours especially since I have a lot of extra boring downtime after work and on weekends.

I think I will look for ways to do that starting today!

Thanks for the video, I have been feeling stuck and this got my imagination going for ways to change things up. 👍",2 weeks ago,Frogturtle xd,UC4_r9dSlsjid28qNm9eNLXA,1,https://yt3.ggpht.com/ytc/AKedOLQqtWpBahuw376PZfxFa8Hom2bTHroBqUf3Jm7g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnXoEa7oFaEnWMt7l4AaABAg,I like how Noah views his path at boring.  Just pure hustle and pretty much the opposite of the boring path.,1 year ago,Andre Nader,UCG-tqUmi94nl7ClXvcAv_vQ,83,https://yt3.ggpht.com/ytc/AKedOLTpyhf79TzxV3vJs46qzqOQI0LDKXDrHIVqznrsKpk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTCbOFlgZtJb6PgxF4AaABAg,"Thank you so much Noah, watching your videos is like sitting with a mentor over a cup of coffee. Just glad I can pause to keep up with my note taking. Huge gratitude for what you’re doing. I hope to pay my experience forward in day too.",6 months ago,Sebastian Teh,UCrTHUbMS7YJOOmXYjt3niRQ,2,https://yt3.ggpht.com/ytc/AKedOLQZIfECs-j-CEvbq4WcPOlOm2-hYaTuoK_eHDPf=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzwqgx23_vtE0ntCmp4AaABAg,"I’m so excited that my 13 year old son just told me about this really cool video he found. He wants to go to college at Baylor and knows it’s expensive so he is already looking for ways to make money and came across this video.  

This is such great advice all around. As a dad who has tried to discuss business with him, he always wants to tell me about some YouTuber who makes millions and I just bite my tongue.  

I am so thankful that he discovered a YouTuber who is actually telling him something truthful and worthy of the time spent (which most videos on YouTube are not).  I had to take time to comment.

Grateful,
Troy",2 weeks ago,Troy Austin,UCMct9TNs1e8JgNpxSdM7y4A,0,https://yt3.ggpht.com/ytc/AKedOLTb4A6RcSfv8WMTtjLHf0kk8l13_BvNdjMJI9HPAjI=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtickFkjzwjpPDHoF4AaABAg,Love how engaged you are in empowering us the viewers to start taking action. Your channel is extremely helpful and I love it! Thank you for doing all that you do!,1 year ago,David Blair,UCalE8LlanJTnuyrsx2AgS4Q,5,https://yt3.ggpht.com/ytc/AKedOLQu2BZmzTtZ7Om6PfSgWwZqpRqOYW7ruSmhaTilEA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVMULUjXOJ1d9cqkB4AaABAg,Thanks for sharing! I think it’s a bit harder when you have a kid and a stay at home wife. But nevertheless this moral of the story is keep going and mistakes are just lessons to learn from and move on. Thanks for being an open and humble human being!!!,6 months ago,Guliani The Prosecutor,UCB9vsExuadlrT53sbhWBFgg,3,https://yt3.ggpht.com/sgWcR_lMq-ZydTIuFTXDZPORZr3iO8AhJosaUrPUTPAfq-VREQhVqr-O_8NnrhnlcDL3FvgEj6s=s176-c-k-c0x00ffffff-no-rj,0.0
UgwY-AtZLxi6Yey5lQJ4AaABAg,"So happy i came across your channel dude, great story and fair play to you for hussling it out for so many years. You have opened my eyes that it wont be a one hit wonder to 1m +",1 year ago,valentine petric,UCgij5eJyidx6-yep-dXhBFQ,7,https://yt3.ggpht.com/ytc/AKedOLRSShyytNXh_cjS_k0ed2s7qR6nO66K03KaXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQcfyd4B8qGVRX6ZF4AaABAg,"Thank you, Noah!

I am a young entrepreneur, watching this from Myanmar. Your video is indeed very inspiring, especially during current difficult time of pandemic and military coup. Really appreciate it!",1 year ago,Aung Naing Oo,UCp__AlhhwLkQ6YN74Pp7Fuw,13,https://yt3.ggpht.com/ytc/AKedOLRM68ZDnNkttq57JSjY0ZKNVE0BwsDSqcr4ATR3flg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJ00vGt9HuuFrnp394AaABAg,"My deepest thanks to yourself & your team Noah for making these videos.
So much value ✨",1 year ago,Matt Ross,UCBiw2jHHH37mNY87Jdj-ytQ,9,https://yt3.ggpht.com/ytc/AKedOLStK1SfSuanoLLsXGreo-UC7gvGnlknMK8uvuahwA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxe17jZOjqsYO-_gkJ4AaABAg,"I love this story. You hustled and made it big. Hard work, patience pays off. Nice work man!",5 months ago,P83 1983,UCfcmDe0tOyQFjVl1OUyLjMA,0,https://yt3.ggpht.com/5Guo2XGSz9pJMMPdbMOXgH8DpfavWeYeL0sEO0YpgPdoXCIqVSYWF8gegz2vlcysSU619Wd9=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIttKop2AhobJ3qG54AaABAg,Great video Noah! As I am trying to scale my 5th! Business I couldn't agree more with everything you said. Also you made me feel a bit less depressed about how much I am actually making after you shared the multiple years you took home $40K a year. Thank you for sharing,1 year ago,Job Ready English,UCdEBe473MgIXDW2TRPzFY4g,0,https://yt3.ggpht.com/ytc/AKedOLTDN37_oAH2UR74Zo5YH5VPPm0DOk-DQOn5maX7=s176-c-k-c0x00ffffff-no-rj,0.0
